iso_code,continent,location,date,total_cases,month,new_cases,new_cases_smoothed,total_deaths,new_deaths,people_vaccinated,life_expectancy,human_development_index,excess_mortality,vaccine,total_vaccinations,recovery_count,age_years,Total_deaths,COVID-19_Deaths
BRN,Asia,Brunei,6/28/21,259,21-Jun,0,0.571,3,0,,75.86,0.838,,Moderna,30454,SeriousCritical,Female Below 30,563,4
BGR,Europe,Bulgaria,6/28/21,421646,21-Jun,8,70.571,18040,13,944704,75.05,0.816,,PfizerBioNTech,32991282,NewlyRecovered,Female Above 30 and Below 65,8208,816
BFA,Africa,Burkina Faso,6/28/21,13479,21-Jun,1,1.429,168,0,25833,61.58,0.452,,Moderna,1262,SeriousCritical,Male Above 65,511,3
BDI,Africa,Burundi,6/28/21,5423,21-Jun,75,25.857,8,0,,61.58,0.433,,JohnsonJohnson,8696,Mild,Male Above 30 and Below 65,1380,31
KHM,Asia,Cambodia,6/28/21,48532,21-Jun,9,726.571,556,16,4019751,69.82,0.594,,PfizerBioNTech,3458360,TotalRecovered,Male Below 30,1380,31
CMR,Africa,Cameroon,6/28/21,80487,21-Jun,0,22.714,1320,0,88333,59.29,0.563,,PfizerBioNTech,38623102,NewlyRecovered,Female Above 65,40580,5683
CAN,North America,Canada,6/28/21,1421695,21-Jun,2,637,26215,28,25610293,82.43,0.929,,OxfordAstraZeneca,113339,SeriousCritical,Female Below 30,40580,5683
CPV,Africa,Cape Verde,6/28/21,32399,21-Jun,4,51.429,286,0,76390,72.98,0.665,,Moderna,19302,Mild,Female Above 30 and Below 65,1641,14
CYM,North America,Cayman Islands,6/28/21,,21-Jun,,,,,48262,83.92,,,OxfordAstraZeneca,69579,TotalRecovered,Female Above 65,5379,171
CAF,Africa,Central African Republic,6/28/21,7141,21-Jun,2,1.714,98,0,,53.28,0.397,,PfizerBioNTech,1644401,NewlyRecovered,Female Below 30,25561,2968
TCD,Africa,Chad,6/28/21,4951,21-Jun,0,0.571,174,0,,54.24,0.398,,Moderna,24951,SeriousCritical,Female Above 30 and Below 65,433,9
CHL,South America,Chile,6/28/21,1551137,21-Jun,6,4130.571,32454,156,,80.18,0.851,,Moderna,656926,Mild,Male Above 65,48343,6719
CHN,Asia,China,6/28/21,91825,21-Jun,1,20.429,4636,0,,76.91,0.761,,JohnsonJohnson,1622000,TotalRecovered,Male Above 30 and Below 65,48321,7079
COL,South America,Colombia,6/28/21,4187194,21-Jun,1,31255.571,105326,648,,77.29,0.767,,PfizerBioNTech,2763676,NewlyRecovered,Male Below 30,6649,400
COM,Africa,Comoros,6/28/21,3912,21-Jun,6,0,146,0,,64.32,0.554,,JohnsonJohnson,11517956,SeriousCritical,Female Above 65,2374,126
COG,Africa,Congo,6/28/21,12485,21-Jun,0,26.714,165,0,,64.57,0.574,,OxfordAstraZeneca,43144,Mild,Female Below 30,38574,5050
CRI,North America,Costa Rica,6/28/21,364304,21-Jun,8,1458.429,4648,46,,80.28,0.81,,PfizerBioNTech,322211,TotalRecovered,Female Above 30 and Below 65,21784,2364
CIV,Africa,Cote d'Ivoire,6/28/21,48203,21-Jun,0,22.286,313,1,745327,57.78,0.538,,OxfordAstraZeneca,306725,NewlyRecovered,Male Above 65,347,8
HRV,Europe,Croatia,6/28/21,359666,21-Jun,5,68.857,8202,2,1482581,78.49,0.851,,JohnsonJohnson,9127,SeriousCritical,Male Above 30 and Below 65,27516,3296
CUB,North America,Cuba,6/28/21,184943,21-Jun,20,2225.429,1253,12,,78.8,0.783,,OxfordAstraZeneca,176989,Mild,Male Below 30,1380,31
CUW,North America,Curacao,6/28/21,,21-Jun,,,,,88632,78.88,,,OxfordAstraZeneca,184859,TotalRecovered,Female Above 65,5078,123
CYP,Europe,Cyprus,6/28/21,75099,21-Jun,3,198.429,374,0,,80.98,0.887,,JohnsonJohnson,204468,NewlyRecovered,Female Below 30,37330,4373
CZE,Europe,Czechia,6/28/21,1666947,21-Jun,1,123.571,30298,0,4994613,79.38,0.9,,Moderna,171716,SeriousCritical,Female Above 30 and Below 65,3391,217
COD,Africa,Democratic Republic of Congo,6/28/21,40439,21-Jun,2,359,916,0,,60.68,0.48,,JohnsonJohnson,1778648,Mild,Male Above 65,44166,6610
DNK,Europe,Denmark,6/28/21,293916,21-Jun,0,185.429,2534,1,3281015,80.9,0.94,,PfizerBioNTech,24608,TotalRecovered,Male Above 30 and Below 65,48343,6719
DJI,Africa,Djibouti,6/28/21,11601,21-Jun,0,1.429,155,0,,67.11,0.524,,PfizerBioNTech,218095,NewlyRecovered,Male Below 30,3541,50
DMA,North America,Dominica,6/28/21,193,21-Jun,2,0.286,,,,75,0.742,,JohnsonJohnson,17,SeriousCritical,Female Above 65,9343,829
DOM,North America,Dominican Republic,6/28/21,323650,21-Jun,2,857.857,3801,4,,74.08,0.756,,PfizerBioNTech,2954838,Mild,Male Above 65,945,21
ECU,South America,Ecuador,6/28/21,455743,21-Jun,5,1301.429,21523,0,,77.01,0.759,,OxfordAstraZeneca,179606,TotalRecovered,Male Above 30 and Below 65,40580,5683
EGY,Africa,Egypt,6/28/21,280770,21-Jun,7,424.714,16125,33,,71.99,0.707,,OxfordAstraZeneca,15195,NewlyRecovered,Male Below 30,13444,1485
SLV,North America,El Salvador,6/28/21,78766,21-Jun,5,183.143,2371,4,,73.32,0.673,,PfizerBioNTech,1567267,NewlyRecovered,Female Above 65,10556,30
GNQ,Africa,Equatorial Guinea,6/28/21,8723,21-Jun,0,2.143,121,0,,58.74,0.592,,Moderna,1807866,SeriousCritical,Female Below 30,3343,160
ERI,Africa,Eritrea,6/28/21,5884,21-Jun,10,66.143,22,1,,66.32,0.459,,OxfordAstraZeneca,646291,NewlyRecovered,Female Above 30 and Below 65,39204,5309
EST,Europe,Estonia,6/28/21,130983,21-Jun,10,23.571,1269,0,555280,78.74,0.892,,Moderna,25646,SeriousCritical,Male Above 30 and Below 65,30967,3502
SWZ,Africa,Eswatini,6/28/21,19084,21-Jun,4,36.143,678,0,,60.19,0.611,,Moderna,1870855,Mild,Male Below 30,676,2
ETH,Africa,Ethiopia,6/28/21,275974,21-Jun,5,93.714,4315,1,,66.6,0.485,,Moderna,121125577,NewlyRecovered,Male Above 65,10358,943
FRO,Europe,Faeroe Islands,6/28/21,,21-Jun,4,,,,28060,80.67,,,PfizerBioNTech,186127467,SeriousCritical,Male Above 30 and Below 65,2563,123
FJI,Oceania,Fiji,6/28/21,3832,21-Jun,0,248.857,17,2,,67.44,0.743,,PfizerBioNTech,6062839,NewlyRecovered,Male Below 30,210,3
FIN,Europe,Finland,6/28/21,95168,21-Jun,8,112.714,969,0,3227042,81.91,0.938,,CanSino,10450,SeriousCritical,Female Above 65,250,1
FRA,Europe,France,6/28/21,5832490,21-Jun,1,1843.714,111174,44,,82.66,0.901,,PfizerBioNTech,597717,NewlyRecovered,Female Below 30,210,3
GAB,Africa,Gabon,6/28/21,24984,21-Jun,75,17.143,159,0,,66.47,0.703,,PfizerBioNTech,2653189,SeriousCritical,Female Above 30 and Below 65,352,6
GMB,Africa,Gambia,6/28/21,6069,21-Jun,9,3.429,181,0,,62.05,0.496,,PfizerBioNTech,7763195,Mild,Male Above 65,13015,1397
GEO,Asia,Georgia,6/28/21,363874,21-Jun,0,676.143,5275,9,254737,73.77,0.812,,Moderna,70,TotalRecovered,Male Above 30 and Below 65,2868,39
DEU,Europe,Germany,6/28/21,3734830,21-Jun,2,601.571,90826,58,44886784,81.33,0.947,,PfizerBioNTech,30602125,NewlyRecovered,Male Below 30,3541,50
GHA,Africa,Ghana,6/28/21,95476,21-Jun,4,59.571,795,0,,64.07,0.611,,Moderna,1,SeriousCritical,Female Above 65,19423,1953
GRC,Europe,Greece,6/28/21,421266,21-Jun,,388.286,12663,8,4762181,82.24,0.888,,PfizerBioNTech,219676,Mild,Female Below 30,2374,126
GRL,North America,Greenland,6/28/21,,21-Jun,2,,,,25298,71.7,,,OxfordAstraZeneca,306124,TotalRecovered,Female Above 30 and Below 65,181,1
GRD,North America,Grenada,6/28/21,161,21-Jun,0,0,1,0,,72.4,0.779,,JohnsonJohnson,297824,NewlyRecovered,Male Above 65,7262,554
GTM,North America,Guatemala,6/28/21,291977,21-Jun,6,1589,9089,39,,74.3,0.663,,PfizerBioNTech,12798,SeriousCritical,Male Above 30 and Below 65,2868,39
GIN,Africa,Guinea,6/28/21,23744,21-Jun,1,29.857,168,0,,61.6,0.477,,Moderna,215678,Mild,Male Below 30,3603,210
GNB,Africa,Guinea-Bissau,6/28/21,3846,21-Jun,1,3,69,0,21855,58.32,0.48,,PfizerBioNTech,912824,TotalRecovered,Female Above 65,37780,4802
GUY,South America,Guyana,6/28/21,19891,21-Jun,6,106.714,466,4,,69.91,0.682,,JohnsonJohnson,0,NewlyRecovered,Male Above 65,3453,47
HTI,North America,Haiti,6/28/21,18212,21-Jun,0,164.429,413,13,,64,0.51,,OxfordAstraZeneca,217059,SeriousCritical,Male Above 30 and Below 65,11721,1007
HND,North America,Honduras,6/28/21,260331,21-Jun,8,876.714,6922,6,,75.27,0.634,,Moderna,721192,Mild,Male Below 30,5181,1
HKG,Asia,Hong Kong,6/28/21,11920,21-Jun,0,4.429,210,0,2179683,84.86,0.949,,Moderna,248526,TotalRecovered,Female Above 65,2352,6
HUN,Europe,Hungary,6/28/21,808042,21-Jun,5,58.857,29989,9,5477405,76.88,0.854,,JohnsonJohnson,3307113,NewlyRecovered,Female Below 30,34630,4076
ISL,Europe,Iceland,6/28/21,6555,21-Jun,20,0,29,0,,82.99,0.949,,Sinovac,1067158,SeriousCritical,Female Above 30 and Below 65,5731,217
IND,Asia,India,6/28/21,30316897,21-Jun,5,48433.714,397637,907,265545768,69.66,0.645,,Sinovac,12163032,Mild,Male Above 30 and Below 65,5078,123
IDN,Asia,Indonesia,6/28/21,2135998,21-Jun,3,18793.286,57561,423,27419898,71.72,0.718,,OxfordAstraZeneca,187096,TotalRecovered,Male Below 30,39550,4959
IRN,Asia,Iran,6/28/21,3180092,21-Jun,1,10638.857,83985,140,,76.68,0.783,,OxfordAstraZeneca,563768,NewlyRecovered,Female Above 65,13015,1197
IRQ,Asia,Iraq,6/28/21,1332046,21-Jun,2,5620.857,17121,30,,70.6,0.674,,Moderna,325091,SeriousCritical,Female Below 30,1835,74
IRL,Europe,Ireland,6/28/21,271589,21-Jun,0,324,4989,0,,82.3,0.955,,JohnsonJohnson,361802,Mild,Female Above 30 and Below 65,44166,6610
IMN,Europe,Isle of Man,6/28/21,,21-Jun,0,,,,63236,81.4,,,PfizerBioNTech,48221685,TotalRecovered,Male Above 65,36127,4512
ISR,Asia,Israel,6/28/21,841196,21-Jun,2,172.286,6429,0,5566179,82.97,0.919,,OxfordAstraZeneca,4804950,NewlyRecovered,Male Above 30 and Below 65,7262,554
ITA,Europe,Italy,6/28/21,4258456,21-Jun,2,713.714,127500,28,33582287,83.51,0.892,,PfizerBioNTech,4461960,SeriousCritical,Male Below 30,6205,307
JAM,North America,Jamaica,6/28/21,50054,21-Jun,5,48.857,1061,0,,74.47,0.734,,OxfordAstraZeneca,24084,Mild,Female Above 65,39550,4959
JPN,Asia,Japan,6/28/21,797084,21-Jun,7,1502.571,14659,38,28049718,84.63,0.919,,OxfordAstraZeneca,5,TotalRecovered,Female Below 30,44974,5677
JOR,Asia,Jordan,6/28/21,750389,21-Jun,5,484.143,9737,10,2371379,74.53,0.729,,PfizerBioNTech,42596130,NewlyRecovered,Female Above 30 and Below 65,30967,3502
KAZ,Asia,Kazakhstan,6/28/21,478063,21-Jun,0,1570.571,3527,3,3165155,73.6,0.825,,PfizerBioNTech,41010,SeriousCritical,Female Above 65,901,7
KEN,Africa,Kenya,6/28/21,182884,21-Jun,10,513,3612,17,1003204,66.7,0.601,,PfizerBioNTech,10437,Mild,Female Below 30,20534,2192
KIR,Oceania,Kiribati,6/28/21,2,21-Jun,10,0,,,,68.37,0.63,,Moderna,2375,TotalRecovered,Female Above 30 and Below 65,1641,14
OWID_KOS,Europe,Kosovo,6/28/21,107331,21-Jun,4,12,2262,2,,,,,JohnsonJohnson,78410,NewlyRecovered,Female Above 65,14445,1388
KWT,Asia,Kuwait,6/28/21,353133,21-Jun,5,1738,1943,10,,75.49,0.806,,OxfordAstraZeneca,129307,SeriousCritical,Female Below 30,1978,75
KGZ,Asia,Kyrgyzstan,6/28/21,121946,21-Jun,4,904.429,1982,5,,71.45,0.697,,PfizerBioNTech,3939640,Mild,Female Above 30 and Below 65,34630,4076
LAO,Asia,Laos,6/28/21,2110,21-Jun,0,8,3,0,886238,67.92,0.613,,PfizerBioNTech,30285,TotalRecovered,Male Above 65,306,5
LVA,Europe,Latvia,6/28/21,137240,21-Jun,8,55.714,2503,0,646816,75.29,0.866,,PfizerBioNTech,800991,NewlyRecovered,Male Above 30 and Below 65,24541,2731
LBN,Asia,Lebanon,6/28/21,544520,21-Jun,1,138.429,7845,2,870901,78.93,0.744,,PfizerBioNTech,131657484,SeriousCritical,Male Above 65,3775,238
LSO,Africa,Lesotho,6/28/21,11239,21-Jun,75,18.857,329,0,,54.33,0.527,,OxfordAstraZeneca,39231,Mild,Male Above 30 and Below 65,2337,15
LBR,Africa,Liberia,6/28/21,3794,21-Jun,9,97.857,123,3,79670,64.1,0.48,,PfizerBioNTech,7895198,TotalRecovered,Male Below 30,13015,1197
LBY,Africa,Libya,6/28/21,192786,21-Jun,0,249.714,3191,4,,72.91,0.724,,OxfordAstraZeneca,342096,NewlyRecovered,Female Above 65,840,23
LIE,Europe,Liechtenstein,6/28/21,3034,21-Jun,2,0.857,59,0,,82.49,0.919,,OxfordAstraZeneca,58452,TotalRecovered,Female Below 30,37780,4802
LTU,Europe,Lithuania,6/28/21,278689,21-Jun,4,40.286,4381,1,1231196,75.93,0.882,,Moderna,764791,NewlyRecovered,Female Above 30 and Below 65,5810,250
LUX,Europe,Luxembourg,6/28/21,70642,21-Jun,,15.286,818,0,328962,82.25,0.916,,PfizerBioNTech,4183099,TotalRecovered,Male Above 65,4306,5
MAC,Asia,Macao,6/28/21,,21-Jun,2,,,,229957,84.24,,,PfizerBioNTech,11924683,NewlyRecovered,Male Above 30 and Below 65,18492,1907
MDG,Africa,Madagascar,6/28/21,42194,21-Jun,0,8.143,909,3,197001,67.04,0.528,,JohnsonJohnson,0,SeriousCritical,Male Below 30,199,3
MWI,Africa,Malawi,6/28/21,35709,21-Jun,6,113.571,1187,5,385242,64.26,0.483,,Moderna,2443605,Mild,Female Above 65,5379,171
MYS,Asia,Malaysia,6/28/21,739266,21-Jun,1,5463.857,5001,57,5463128,76.16,0.81,,JohnsonJohnson,0,TotalRecovered,Female Below 30,5731,217
MDV,Asia,Maldives,6/28/21,73482,21-Jun,1,190.429,209,0,,78.92,0.74,,OxfordAstraZeneca,62497,NewlyRecovered,Female Above 30 and Below 65,36574,4465
MLI,Africa,Mali,6/28/21,14419,21-Jun,6,4.857,525,0,,59.31,0.434,,OxfordAstraZeneca,40,SeriousCritical,Male Above 65,840,23
MLT,Europe,Malta,6/28/21,30612,21-Jun,0,3.143,420,0,357171,82.53,0.895,,JohnsonJohnson,1248174,Mild,Male Above 30 and Below 65,198,2
MHL,Oceania,Marshall Islands,6/28/21,4,21-Jun,8,0,,,,73.7,0.704,,PfizerBioNTech,50026083,TotalRecovered,Male Below 30,39504,5088
MRT,Africa,Mauritania,6/28/21,20676,21-Jun,0,44.429,487,1,,64.92,0.546,,Moderna,133665,NewlyRecovered,Female Above 65,2374,126
MUS,Africa,Mauritius,6/28/21,1833,21-Jun,5,18.857,18,0,,74.99,0.804,,Moderna,23120,SeriousCritical,Male Above 65,36127,4512
MEX,North America,Mexico,6/28/21,2507453,21-Jun,20,4128.857,232608,44,,75.05,0.779,,Moderna,18933,Mild,Male Above 30 and Below 65,228,1
FSM,Oceania,Micronesia (country),6/28/21,1,21-Jun,,0,,,,67.88,0.62,,Moderna,37220,TotalRecovered,Male Below 30,44526,6471
MDA,Europe,Moldova,6/28/21,256614,21-Jun,3,61,6187,3,435687,71.9,0.75,,PfizerBioNTech,2022454,NewlyRecovered,Female Above 65,5945,280
MCO,Europe,Monaco,6/28/21,2575,21-Jun,1,3.714,33,0,,86.75,,,OxfordAstraZeneca,216125,TotalRecovered,Female Below 30,763,7
MNG,Asia,Mongolia,6/28/21,111505,21-Jun,2,1922.143,533,0,1981613,69.87,0.737,,PfizerBioNTech,281650,NewlyRecovered,Female Above 30 and Below 65,4409,340
MNE,Europe,Montenegro,6/28/21,100204,21-Jun,0,16,1609,0,150031,76.88,0.829,,PfizerBioNTech,63693721,TotalRecovered,Male Above 30 and Below 65,44166,6610
MAR,Africa,Morocco,6/28/21,529895,21-Jun,0,451.143,9283,6,9908882,76.68,0.686,,OxfordAstraZeneca,43018,NewlyRecovered,Male Below 30,5810,250
MOZ,Africa,Mozambique,6/28/21,75422,21-Jun,2,406.429,869,1,,60.85,0.456,,PfizerBioNTech,1042927,SeriousCritical,Female Above 65,23792,2746
MMR,Asia,Myanmar,6/28/21,154385,21-Jun,2,824,3309,12,,67.13,0.583,,OxfordAstraZeneca,370753,Mild,Female Below 30,228,1
NAM,Africa,Namibia,6/28/21,86649,21-Jun,5,1554.714,1445,45,,63.71,0.646,,PfizerBioNTech,1151057,TotalRecovered,Female Above 30 and Below 65,7276,567
NPL,Asia,Nepal,6/28/21,635188,21-Jun,7,1792.571,9051,42,2587873,70.78,0.602,,PfizerBioNTech,156381,NewlyRecovered,Male Above 65,2702,127
NLD,Europe,Netherlands,6/28/21,1711545,21-Jun,5,623.429,18024,0,,82.28,0.944,,OxfordAstraZeneca,3791775,SeriousCritical,Male Above 30 and Below 65,563,4
NZL,Oceania,New Zealand,6/28/21,2742,21-Jun,0,3,26,0,,82.29,0.931,,Moderna,257739,Mild,Male Below 30,3453,47
NIC,North America,Nicaragua,6/28/21,7920,21-Jun,10,32,189,0,,74.48,0.66,,JohnsonJohnson,1944532,TotalRecovered,Male Above 65,13015,1197
NER,Africa,Niger,6/28/21,5480,21-Jun,10,1.571,193,0,,62.42,0.394,,JohnsonJohnson,0,NewlyRecovered,Male Above 30 and Below 65,373,1
NGA,Africa,Nigeria,6/28/21,167532,21-Jun,4,34.286,2119,0,,54.69,0.539,,PfizerBioNTech,218095,SeriousCritical,Male Below 30,21784,2364
MKD,Europe,North Macedonia,6/28/21,155676,21-Jun,5,7,5484,0,,75.8,0.774,,PfizerBioNTech,9578174,Mild,Female Above 65,4220,75
NOR,Europe,Norway,6/28/21,130744,21-Jun,4,171.286,792,0,2495201,82.4,0.957,,Moderna,7,TotalRecovered,Female Below 30,4409,340
OMN,Asia,Oman,6/28/21,264302,21-Jun,0,1961.429,3013,46,854274,77.86,0.813,,JohnsonJohnson,38210,NewlyRecovered,Female Above 30 and Below 65,433,9
PAK,Asia,Pakistan,6/28/21,956392,21-Jun,8,936.286,22254,23,,67.27,0.557,,OxfordAstraZeneca,178518,Mild,Male Above 65,42164,5821
PSE,Asia,Palestine,6/28/21,313851,21-Jun,1,148.571,3561,2,490082,74.05,0.708,,OxfordAstraZeneca,103691,TotalRecovered,Male Above 30 and Below 65,5810,250
PAN,North America,Panama,6/28/21,401332,21-Jun,75,1013,6529,5,994064,78.51,0.815,,PfizerBioNTech,484291,NewlyRecovered,Male Below 30,40326,5079
PNG,Oceania,Papua New Guinea,6/28/21,17098,21-Jun,9,12.143,173,0,,64.5,0.555,,OxfordAstraZeneca,835580,SeriousCritical,Female Above 65,1380,31
PRY,South America,Paraguay,6/28/21,419764,21-Jun,0,1720.429,12641,124,,74.25,0.728,,PfizerBioNTech,1912347,Mild,Female Below 30,39204,5309
PER,South America,Peru,6/28/21,2048115,21-Jun,2,2500.571,191899,315,,76.74,0.777,,PfizerBioNTech,32232422,TotalRecovered,Female Above 30 and Below 65,228,1
PHL,Asia,Philippines,6/28/21,1403588,21-Jun,4,5621.286,24456,84,,71.23,0.718,,PfizerBioNTech,87142,NewlyRecovered,Male Above 65,8501,14
POL,Europe,Poland,6/28/21,2879689,21-Jun,,121.286,74979,0,16716871,78.73,0.88,,PfizerBioNTech,243669,NewlyRecovered,Male Above 30 and Below 65,19636,2089
PRT,Europe,Portugal,6/28/21,875449,21-Jun,2,1377.571,17086,2,5386835,82.05,0.864,,PfizerBioNTech,3359401,SeriousCritical,Male Below 30,5078,123
QAT,Asia,Qatar,6/28/21,221810,21-Jun,0,125.714,588,0,1689837,80.23,0.848,,PfizerBioNTech,397127,Mild,Female Above 65,42328,5286
ROU,Europe,Romania,6/28/21,1080667,21-Jun,6,55,33311,58,4702086,76.05,0.828,,PfizerBioNTech,6354991,TotalRecovered,Male Above 65,8084,697
RUS,Europe,Russia,6/28/21,5408744,21-Jun,1,19488,131671,601,21790363,72.58,0.824,,Moderna,122580,TotalRecovered,Male Above 30 and Below 65,5077,432
RWA,Africa,Rwanda,6/28/21,37384,21-Jun,1,849.857,427,7,,69.02,0.543,,PfizerBioNTech,41577309,NewlyRecovered,Male Below 30,413701,56709
KNA,North America,Saint Kitts and Nevis,6/28/21,439,21-Jun,6,12.714,3,0,,76.23,0.779,,JohnsonJohnson,26,SeriousCritical,Female Above 65,2563,123
LCA,North America,Saint Lucia,6/28/21,5284,21-Jun,0,9.429,84,0,,76.2,0.759,,SinopharmBeijing,1873498,Mild,Female Below 30,40580,5683
VCT,North America,Saint Vincent and the Grenadines,6/28/21,2219,21-Jun,8,3.286,12,0,,72.53,0.738,,OxfordAstraZeneca,23333,TotalRecovered,Female Above 30 and Below 65,3752,65
WSM,Oceania,Samoa,6/28/21,3,21-Jun,0,0,,,,73.32,0.715,,Moderna,28350,NewlyRecovered,Male Above 30 and Below 65,48343,6719
SMR,Europe,San Marino,6/28/21,5091,21-Jun,5,0.143,90,0,,84.97,,,PfizerBioNTech,6241647,SeriousCritical,Male Below 30,7262,554
STP,Africa,Sao Tome and Principe,6/28/21,2365,21-Jun,20,0.429,37,0,16453,70.39,0.625,,OxfordAstraZeneca,10462051,Mild,Female Above 65,15199,1474
SAU,Asia,Saudi Arabia,6/28/21,484539,21-Jun,,1305.143,7789,14,,75.13,0.854,,PfizerBioNTech,41237,TotalRecovered,Female Below 30,1185,47
SEN,Africa,Senegal,6/28/21,42929,21-Jun,3,70.286,1164,0,515344,67.94,0.512,,PfizerBioNTech,49089,NewlyRecovered,Female Above 30 and Below 65,41363,6045
SRB,Europe,Serbia,6/28/21,716385,21-Jun,1,77.714,7039,8,,76,0.806,,JohnsonJohnson,78410,SeriousCritical,Male Above 65,8208,816
SYC,Africa,Seychelles,6/28/21,15579,21-Jun,2,208,68,5,,73.4,0.796,,PfizerBioNTech,487334,Mild,Male Above 30 and Below 65,46888,5960
SLE,Africa,Sierra Leone,6/28/21,5443,21-Jun,0,80.571,97,3,,54.7,0.452,,Moderna,323062,TotalRecovered,Male Above 65,982,25
SGP,Asia,Singapore,6/28/21,62553,21-Jun,0,17.571,36,0,,83.62,0.938,,Moderna,38575,NewlyRecovered,Male Above 30 and Below 65,1353,37
SVK,Europe,Slovakia,6/28/21,391566,21-Jun,2,34.286,12509,4,2007665,77.54,0.86,,PfizerBioNTech,1557676,Mild,Male Below 30,2729,136
SVN,Europe,Slovenia,6/28/21,257252,21-Jun,2,35.857,4419,0,815838,81.32,0.917,,JohnsonJohnson,10939901,TotalRecovered,Female Above 65,1835,74
